"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3012553","Kristina  Berntsen and Ricardo Colomo Palacios and Eduardo  Herranz","","","","Virtual Reality and Its Uses: A Systematic Literature Review","435--439","","5","overview, systematic literature review, virtual reality","10.1145/3012430.3012553","","","","","","","2016","","Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '16","","978-1-4503-4747-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","3012609","Jos&#233; Antonio Ya&#241;ez-Figueroa and Mar&#237;a Soledad Ram&#237;rez-Montoya and Francisco J. Garc&#237;a-Pe&#241;alvo","","","","Systematic Mapping of the Literature: Social Innovation Laboratories for the Collaborative Construction of Knowledge from the Perspective of Open Innovation","795--803","","9","collaborative knowledge construction, open innovation, social innovation laboratories","10.1145/3012430.3012609","","","","","","","2016","","Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '16","","978-1-4503-4747-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","3131174","Simone  da Silva Amorim and F&#233;lix Simas S. Neto and John D. McGregor and Eduardo Santana de Almeida and Christina  von Flach G. Chavez","","","","How Has the Health of Software Ecosystems Been Evaluated?: A Systematic Review","14--23","","10","Software Ecosystems Health, Software Evaluation, Systematic Literature Review","10.1145/3131151.3131174","","","","","","","2017","","Proceedings of the 31st Brazilian Symposium on Software Engineering","SBES'17","","978-1-4503-5326-7","Fortaleza, CE, Brazil","ACM","New York, NY, USA"
"article","3133836","Vinicius J. Schettino and Regina  Braga and Jos&#233; Maria N. David and Marco Ant&#244;nio P. Ara&#250;jo","","","","Spotify Characterization As a Software Ecosystem","8:1--8:10","8","10","software ecosystems, software engineering, software reuse","10.1145/3132498.3133836","","","","","","","2017","","Proceedings of the 11th Brazilian Symposium on Software Components, Architectures, and Reuse","SBCARS '17","","978-1-4503-5325-0","Fortaleza, Cear&aacute;, Brazil","ACM","New York, NY, USA"
"article","3103199","Rebeca Campos Motta and K&#225;thia Mar&#231;al de Oliveira and Guilherme Horta Travassos","","","","Rethinking Interoperability in Contemporary Software Systems","9--15","","7","context-aware software systems, evidence-based software engineering, interoperability, systematic literature review, systems-of-systems","10.1109/JSOS.2017..5","","","","","","","2017","","Proceedings of the Joint 5th International Workshop on Software Engineering for Systems-of-Systems and 11th Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems","JSOS '17","","978-1-5386-2799-0","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","2808640","Ana M. Santos","","","","Theoretical-methodological Proposal to Evaluate the Quality of Educational Websites to Support Education","397--401","","5","evaluation criteria, evaluation of educational websites, methodology, teaching","10.1145/2808580.2808640","","","","","","","2015","","Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '15","","978-1-4503-3442-6","Porto, Portugal","ACM","New York, NY, USA"
"article","3012531","Tr&#225;nsito  Ferreras-Fern&#225;ndez and Helena  Mart&#237;n-Rodero and Francisco J. Garc&#237;a-Pe&#241;alvo and Jos&#233; A. Merlo-Vega","","","","The Systematic Review of Literature in LIS: An Approach","291--296","","6","library and information science, literature reviews, social sciences, systematic reviews","10.1145/3012430.3012531","","","","","","","2016","","Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '16","","978-1-4503-4747-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","3012529","Lu&#237;s  Corujo and Carlos Guardado da Silva and Jorge  Revez","","","","Digital Curation and Costs: Approaches and Perceptions","277--284","","8","cost, cost model, data lifecycle, digital curation","10.1145/3012430.3012529","","","","","","","2016","","Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '16","","978-1-4503-4747-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","2669924","Christian Xavier Navarro Cota and Ana Isabel Molina D&#237;az and Miguel &#193;ngel Redondo Duque","","","","Developing a Framework to Evaluate Usability in M-learning Systems: Mapping Study and Proposal","357--364","","8","evaluation, m-learning, mapping study, mobile learning, usability","10.1145/2669711.2669924","","","","","","","2014","","Proceedings of the Second International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '14","","978-1-4503-2896-8","Salamanca, Spain","ACM","New York, NY, USA"
"article","3012532","Laura Icela Gonz&#225;lez P&#233;rez and Mar&#237;a Soledad Ram&#237;rez Montoya and Francisco J. Garc&#237;a-Pe&#241;alvo","","","","Discovery Tools for Open Access Repositories: A Literature Mapping","299--305","","7","discovery tools, evaluation usability and open educational resources, open access repository","10.1145/3012430.3012532","","","","","","","2016","","Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '16","","978-1-4503-4747-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","2808652","Hilda A. Del Carpio Ramos and Francisco J. Garc&#237;a Pe&#241;alvo","","","","Design of the Survey Instrument to Evaluate Innovation in Healthcare Centers","481--487","","7","design of survey instruments, health centers I-4, innovation","10.1145/2808580.2808652","","","","","","","2015","","Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '15","","978-1-4503-3442-6","Porto, Portugal","ACM","New York, NY, USA"
"article","3145430","Ana M. Pinto-Llorente and M. Cruz S&#225;nchez-G&#243;mez and Francisco J. Garc&#237;a-Pe&#241;alvo","","","","The Use of Online Quizzes in Blended Learning Modality: A Qualitative Approach","80:1--80:7","80","7","Qualitative approach, blended learning modality, continuous assessment, online quizzes, second language acquisition, self-assessment","10.1145/3144826.3145430","","","","","","","2017","","Proceedings of the 5th International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM 2017","","978-1-4503-5386-1","C&aacute;diz, Spain","ACM","New York, NY, USA"
"article","2536606","Rub&#233;n Guti&#233;rrez Priego and Azahara Garc&#237;a Peralta","","","","Engagement Factors and Motivation in e-Learning and Blended-learning Projects","453--460","","8","computer-managed instruction, e-learning engagement, e-learning motivation and eassessments, multimedia educational resources","10.1145/2536536.2536606","","","","","","","2013","","Proceedings of the First International Conference on Technological Ecosystem for Enhancing Multiculturality","TEEM '13","","978-1-4503-2345-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","1920497","Brenda  Dervin and Rea  Devakos","","","","Deep, Efficient, and Dialogic Study of Undergraduate Information Seeking and Use: A Methodological Exploration","125:1--125:2","125","2","focus group interviewing, information seeking and use, methodology, semi-structured group interviewing, sense-making, undergraduates","","","","","","","","2010","","Proceedings of the 73rd ASIS&T Annual Meeting on Navigating Streams in an Information Ecosystem - Volume 47","ASIS&T '10","","","Pittsburgh, Pennsylvania","American Society for Information Science","Silver Springs, MD, USA"
"article","1920521","Ina  Fourie","","","","Information Behavior in Palliative Care: An Exploratory Reflection on the Diversity and Multiplicity of Contexts","149:1--149:3","149","3","contexts, information behavior, palliative care","","","","","","","","2010","","Proceedings of the 73rd ASIS&T Annual Meeting on Navigating Streams in an Information Ecosystem - Volume 47","ASIS&T '10","","","Pittsburgh, Pennsylvania","American Society for Information Science","Silver Springs, MD, USA"
"article","3131191","Daniela F. Sellaro and Rafael Z. Frantz and Inma  Hern&#225;ndez and Fabricia  Roos-Frantz and Sandro  Sawicki","","","","Task Scheduling Optimization on Enterprise Application Integration Platforms Based on the Meta-heuristic Particle Swarm Optimization","273--278","","6","Cloud computing, Integrating Enterprise Applications, Optimization, Runtime System, Task Scheduling Algorithm","10.1145/3131151.3131191","","","","","","","2017","","Proceedings of the 31st Brazilian Symposium on Software Engineering","SBES'17","","978-1-4503-5326-7","Fortaleza, CE, Brazil","ACM","New York, NY, USA"
